group_url;owner_id;text;comments;likes;reposts;views
samsung.galaxy_a;"[3744, '""hear you screaming..."" © UPD 8.05.2020 15:30 деньги вернули... я на связи\n\nВсем привет. Сегодня 7 мая 2020г., поэтому всех, кто в теме, поздравляю с праздником и сам принимаю поздравления. Сейчас 21.10 вечера. Но то, что я пишу сейчас, а пост выкладываю гораздо позже и будет главной мыслью данного посыла. \nУ меня, как и у многих, корпоративный номер мегафона, давно хочу выйти из корпоративки, но все как-то не время. На тарифе сижу уже лет 5 и все 5 лет ни разу не было лишних списаний, кроме пары раз мискликов по рекламе. Сегодня мой тариф начал что-то чудить. С утра пришло смс с наглядным балансом в 250р (ежедневно должно списыватьмя по 33р) и результатом запроса детализации... и уже это должно было насторожить, детализацию я не заказывал, ну да ладно. Ближе к 5 вечера, приходит другое смс, что баланс мой - 150р и ""мы вас сейчас отключим"". Даже не задумываясь звоню своим корпоративщикам, говорю, что за хрень? На что получаю ответ, что со стороны мегафона уже год идёт отключение моего тарифа, что мол списывать начинают без учёта скидок и т. д. и т. п. \nОкей, что делать? \nНужен положительный баланс и мы меняем тариф\nПодобрали тариф, пока инет не рубануло кидаю на счёт косарь, за смену тарифа и анлим. \nОк, все прошло\nСижу дальше... проверяю баланс, все норм ещё 150р осталось потом эти непонятные списания компенсируют... все норм инет есть\nнедолго \nинет пропал \nзвоню опять, как так-то?! \nмегафон все ещё списывает непонятно как, не пользуйтесь интернетом. \nинет заблочен, звонки заблочены... я вернулся в 2000,мы тогда ещё маячки кидали, правда я понятия не имею как это делать, потому что у меня баланс в минус вышел только раз, году в 2007, когда я в первый раз отказался от мегафона, за то что они меня загнали в -500р. Я в месяц тогда в разы меньше тратил на связь с учётом платных входящих.... но сейчас не об этом. \nСижу каждые 5 минут мониторю баланс... - 30... сижу... ... ... - 2000!!! \nДве тысячи!!! КАРЛ!!! Своим уже не стал звонить... звоню в мегафон, с такой историей: самоизоляция, работа по интернету, нахожусь у черта на куличках, да и сумма уже не маленькая, что за черт. Оператор Дмитрий подкупил тем, что сказал, что спецы уже работают... \nтак вот к чему это я... уже подъезжаю к дому, там вайфай... и пост уже заканчивается... \nу меня в телефоне есть судоку и 300+ кешированной музычки из вк, со скуки не помру... но без инета ни в банк, ни по работе, а вдруг ЧП! не... у меня на такой случай есть вторая симка, правда без инета, да и не ловит на работе инет через пчелайн... \nсижу, жду когда вернут баланс... обещали завтра к 2м часам по полудни...\nах да... посыл! Никто не завтрахован... думаю и с физиком такая херь может произойти... а представьте, что вы пользуетесь виртуальной картой мегафона и вас за здрасьте затащили в жуткие минуса? 8р/МБ...час кино в 720р и у вас -10000 баланса, а с нынешними скоростями, кинцо скачается за 5-10 минут, а тарификация будет ждать окончания сеанса! \nНу что? Кто уловил МЕССАДЖ? ""come true"" (c) ""strong with fifty belly dancers"" no control ""crowded with choices"" © Сапер на java на коленке за пару дней... Спустя 10 лет глючность java все та же... радует, что с мощностью компов это стало менее заметно... Сердца бились в один такт... STATION!!!\n\nGod gave Rock\'n\'Roll to you!\n\nBill & Teed are coming back)\nhttps://filmix.zone/mynews/132470-izvestna-data-vyhoda-proekta-bill-i-ted-3.html you on the phone Голос бескрайней вселенской муки Роль оставляет свет Дождь, снег, слякоть, грязь... Но сезон открыт))) Ура... ко мне вернулась скорость проводного интернета\nспасибо тп-линку, как бы я его не хейтил, и технологии PLC\nhttps://www.tp-link.com/ru/products/details/cat-18_TL-WPA4220KIT.html Кемерово, держитесь!\n#Кемерово #25марта2018 #пожар  Только что вернулся из кинотеатра домой\n8/10\n!NO SPOILERS!\nНикаких сверхэпических битв на световых мечах (некто в озвучке от имени Люка назвал его лазерным😤😤😤)... в этом плане очень далеко до второй трилогии... правда в паре моментов вообще отвратительная постановка битв... \nнемного космических баталий... немного планетарных... этим похоже на первую трилогию... \nфактически никакой политики... в основном болтовня, заговоры, планы, их выполнение/невыполнение.\nТем не менее почти весь фильм держит в напряжении, редко прерываясь мыслью: ""вот идиоты""и еще реже комедией.\nК просмотру советую\n\n""In memory of our Princess Carrie Fisher"" (c) (прим. ""В память о нашей Принцессе Кэрри Фишер)\n\n#StarWars #LastJedi #LukeSkyWalker #LeaOrgana #CarrieFisher #Disney #Lucas Владимир Владимирович, судя по новостям, этот месяц был богат на увольнения... не пора ли еще кого-нибудь уволить?\nPS С Днем Рождения!\n#Путин #ВладимирВладимирович #СДнемРождения #остановитезастройку #каждомурайонудетскуюплощадку Iphone X!!! Айфон ТЭН! блюээээ💩💩💩\n#Apple #iphoneX То чувство, когда TiX снимают вертикальное видео *facepalm*\nЗачем слушать Стаса и смотреть с телефона? Можно повернуть ноутбук на бок, нажать 3 волшебные клавиши и наслаждаться!\n#ThisIsHorosho #ThisIsХорошо #ВертикальноеВидео\nhttps://www.youtube.com/watch?v=LS6zdHvuCUA ', 0.0, 0.18, 0.0, 61.01]"
rumicomrussia;[3231, 'С днём рождения!  С днём рождения, желаю добиться успехов во всех направлениях!  Вот и первый класс  Ну что, есть кто боевой, азартный и с железными щеками в Питере?  Видок у него, конечно - стандартный современный человек-ананасовый скиттлз, но треки реально по олдскуллу делает. кто вспомнит sticky fingaz - отдельные +15 к уважению от меня 😅 Кажется, вопрос: «как поднять бабла» актуален для всей России. \nЧем ещё объяснить попытки «Первого канала» похайпить на интернет мемах? \nВчера без особого удовольствия наблюдал ремейк «Вечернего Урганта» на наш с [id47952|Игорем] и [id10374507|Витей] ролик для Azino. \nРебята с «Первого» не поняли главного: Макака не поймает банан, если дергать не за тот канат 😉  Стали другими дела. Прошло полтора месяца, как вышел снятый нами ролик для Azino Group, который успел, наверное, уже приесться каждому, кто смотрит онлайн фильмы и сериалы. Решил провести небольшой соц опрос, чтобы узнать объективное мнение вас, зрителей, о нём. Прошу постараться откинуть тот факт, что это реклама онлайн-казино, а подойти к вопросу, как к просто вирусному контенту.\n#azino777 #тритопора #азинотритопора #ак47 #поднялбабла Немного классики на ночь?     Вспомнилось тут на днях ', 1.3195876288659794, 4.319587628865979, 0.07216494845360824, 378.87628865979383]
huaweip20;[5109, 'С днём рождения! 🥳🥳🎂  Как тебе такие батуты, Дмитрий Олегович?   Подарок всем на 8 марта!  SpaceX!!! \n\nhttps://www.youtube.com/watch?v=2ZL0tbOZYhE  Пашкин!!! Поздравляю тебя с Днюхой🎉🎈🍾😘 Пашка, с Днем Рождения!!! 😜 С Днем Рождения, Паштет!)) С Днем Рождения,братец!)😊🎂🎁🎉🎊🍷🍸      Пока только до Пакистана добрались...\n\nhttp://m.dp.ru/article/1741b466-db0e-482d-aa04-c2143456cd4d С днем рождения, Пашка👏👏👏 ', 0.0, 2.102272727272727, 0.011363636363636364, 38.42045454545455]
huaweip20;[10232, '     Я набрал 39000 очков на 1 уровне в бонусном мире в честь прощания с осенью! Присоединяйся! Ежедневный бонус в игре получен! Присоединяйтесь к игре! Я ещё так молод))))   14 лет. Это круто)))   1 годик!!!       ', 0.0, 2.37, 0.04, 163.37]
ru_oppo;[5693, '                  Кто хочет выучить английский или испанский? \n \nОбращайтесь к преподавателю https://vk.com/vikk_87. \n \nПолный курс фонетики и грамматики, печатные и аудио уроки (грамматические и фонетические), вся необходимая лексика + практические задания. \n \nОбучение дистанционное, построенное на постоянном контакте преподавателя и ученика. \nСтоимость обучения – 4000 руб\\месяц. \nПервый месяц – бесплатный. \n \nПишите в ЛС или звоните по тел: 8 911 719 59 11.  ', 0.0, 1.76, 0.0, 24.06]
